Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Brazil,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",170.07227664621485,155.55545108935047,178.83719271634672
Barbados,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",311.9956200494927,260.1812146362439,370.10816333483547
Brunei Darussalam,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",109.91390689369398,98.21610149781714,123.3438273999683
Bhutan,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",172.0398788575364,140.64107709848386,202.1876426947765
Botswana,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",120.74578141543358,98.18374824332064,147.5733377797828
Central African Republic,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",138.96996805959185,106.22130181747134,177.06019236067002
Canada,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",201.82063469847827,174.91062730244678,217.0127453101472
Switzerland,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",227.46965696914035,184.03465055900077,250.76692165030542
Chile,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",144.49161827933779,130.2911252762286,152.63272548827592
Côte d'Ivoire,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",104.53009521918318,82.04108370707131,133.55064078673396
Cameroon,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",102.42025917977575,78.9345399788129,133.5579802591191
Democratic Republic of the Congo,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",108.05230602811817,83.49558558636294,137.69396486648984
Congo,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",155.20082038545004,124.32318853661266,189.28639506344624
Cook Islands,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",337.3435164579508,284.4908687136448,389.4408171185676
Colombia,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",152.3576442155195,127.17661615218562,178.65244147395637
Comoros,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",136.7785314117094,108.9932179702031,171.70263409525913
Cabo Verde,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",203.71017095130512,171.8355037063745,235.62390783191896
Costa Rica,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",129.1057551585607,112.12354960453278,144.01782600027053
Cuba,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",366.2997990601403,321.2954268863128,409.6833826998128
Cyprus,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",223.7725612461863,193.31175276066725,250.03923068630513
Czechia,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",440.1086668404781,384.2830342624944,483.8460851331044
Germany,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",373.6903204349548,314.3272508132286,404.9355267167032
Djibouti,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",103.94292336795208,78.85485620719072,135.2885366834656
Dominica,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",316.50984530678164,284.020780090754,364.7932621376234
Denmark,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",221.78430947259355,190.4043559380143,238.1605187043161
Dominican Republic,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",222.55142920340944,181.90672057252695,273.1028818142446
Algeria,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",220.9213785361593,187.64821303608485,256.5439555203567
Ecuador,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",117.93564136226105,97.11781954227698,143.0828117009112
Eritrea,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",106.50051139711101,82.86452598238137,134.8682971779623
Spain,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",253.0995919930476,207.20889394008933,276.91274886758714
Estonia,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",553.2171571509876,480.97814456623536,612.8131627801688
Ethiopia,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",63.40493919510705,54.70011627952899,73.299415868242
Finland,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",407.35177068600024,339.80292677004206,443.6605361736579
Fiji,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",304.546531314741,240.65652677282887,376.9350441730098
France,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",230.0464563861669,192.92619797319173,250.54365405704328
Micronesia (Federated States of),2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",323.12351676476595,258.90034017826116,403.7622052149782
Gabon,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",153.0836474190198,118.51424013916731,190.95338214158676
United Kingdom,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",235.42161688606694,205.79511189878036,249.66273608695235
Georgia,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",631.597948483942,567.5353496591867,691.6968218189405
Ghana,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",140.6139975076981,112.09682165363019,169.54634171058674
Guinea,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",123.7670560308803,98.71418175570149,154.35840834506436
Gambia,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",134.90032024135792,105.77249994873176,162.72781921443215
Guinea-Bissau,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",132.28542998583046,104.3149202951976,157.47035442544393
Equatorial Guinea,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",84.81555713308059,57.91871593980716,116.29296175688113
Greece,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",472.61790182659195,406.84997486309766,504.91947573669546
Grenada,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",249.87259408686984,220.55508752820597,276.29530032499383
Greenland,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",179.1212451361258,157.53989012486568,211.06308416204752
Guatemala,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",92.02016735357604,80.29931122029308,104.21619087204945
Guam,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",247.88230974247813,219.55433158177655,273.5276167318796
Guyana,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",278.0295057848346,222.37249959206977,345.0029003604914
Honduras,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",172.62222331893113,150.89368287309966,203.70235319581812
Croatia,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",555.8307967828905,492.360170361013,606.6104403789594
Haiti,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",216.13058679312118,165.2577883589502,281.635918959512
Hungary,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",603.96379199199,532.1051274969857,663.8174080630938
Indonesia,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",274.5145840714648,232.04863190685552,314.2289752228703
India,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",203.13017268590778,185.61425080027473,223.02803420830662
Ireland,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",167.83665155477146,141.0834823178182,182.56653631787412
Iran (Islamic Republic of),2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",198.67628597156667,181.0930695600192,211.42188330980187
Iraq,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",212.3864156333127,170.57249497977708,249.09299138928935
Iceland,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",200.19181589673468,163.14630769407995,222.55434355467446
Israel,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",110.01110060565641,92.92969439722921,119.22778967242381
Italy,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",361.5903577805541,293.47636252793393,398.4406579165271
Jamaica,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",228.36516005135303,183.85213614032892,284.69012177054304
Jordan,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",94.54161306323805,78.05283289733639,114.10964154892477
Japan,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",291.24868855252834,228.96277316181192,326.2472349727791
Kazakhstan,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",343.38751152990176,313.8155736503567,375.5006812311449
Kenya,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",75.71321418480676,61.43897039879426,92.70303505819497
Kyrgyzstan,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",228.4608690527181,192.67106417986503,263.5195962713499
Cambodia,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",195.1480225494584,158.7359133993401,233.05878232639455
Kiribati,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",226.8290386452379,185.73433441891012,281.33767971981115
Saint Kitts and Nevis,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",256.2312066026339,219.1970153642732,289.50477315588455
Republic of Korea,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",149.8638778197791,123.57120730893587,167.3320359639209
Kuwait,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",90.34181733309444,74.89138977588439,108.18893476337446
Lao People's Democratic Republic,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",212.82612820588838,171.35610043242738,258.1845123854677
Lebanon,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",195.92534581684018,164.85125075573734,227.62660820583898
Liberia,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",106.08662279221214,84.79320276028811,136.80771224710654
Libya,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",204.46558910860688,162.11607077813292,258.6880019550927
Saint Lucia,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",267.2388539458437,223.96705080728745,309.37640629262154
Sri Lanka,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",246.0574018885256,174.73792661609124,322.9169606954038
Lesotho,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",194.8800285317303,149.63593642005952,243.59204106013016
Lithuania,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",741.3917045279378,659.3224812877936,811.4950161366544
Luxembourg,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",197.83807757808745,171.88540295116974,217.89560351936723
Latvia,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",797.2531730240914,707.5076160131723,872.3862072894675
Morocco,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",362.917667438657,296.46143630152477,404.628830161566
Monaco,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",395.68899610731256,314.86461819772876,481.10261821558566
Republic of Moldova,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",609.9430384503759,555.2515929005402,664.7994365247291
Madagascar,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",131.7625746498387,101.69823705380526,165.56909356602176
Maldives,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",99.27103354561235,82.33554286257403,115.80897609577377
Mexico,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",146.75257329283735,130.43071046977252,162.3998373909361
Marshall Islands,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",282.49690006337926,221.57933007238188,351.9158945275322
North Macedonia,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",610.5556956279503,525.5680141683144,699.5620136621393
Mali,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",73.65989313965271,59.96796557068873,88.83233645078847
Malta,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",295.5056386488801,249.27188534764718,328.32701976275666
Myanmar,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",269.51286958130254,223.93990940055062,327.8495604908272
Montenegro,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",700.0657696322743,636.8959811567736,769.6415160404824
Mongolia,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",206.96520862196945,185.086204146909,228.36588808934692
Northern Mariana Islands,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",242.51946245883596,212.5800255643217,256.5855420802234
Mozambique,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",108.38209273619195,83.37548188353061,134.20766023029006
Mauritania,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",129.6043276396949,102.94809438677476,161.9963504574864
Mauritius,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",279.42672790428225,258.8297216155167,290.28896546365763
Malawi,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",94.47880435601442,80.46460962604372,111.56227952726259
Malaysia,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",209.91596874719798,196.72700844255908,220.55138237575935
Namibia,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",154.31082575654162,121.9233687276701,189.3010293771071
Niger,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",70.195397800035,53.77567458806255,88.63666723469346
Nigeria,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",82.58020999577623,68.333141250448,99.82553781517417
Nicaragua,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",85.24291909050174,72.7584950638338,100.50227833527501
Niue,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",522.7973609863163,446.66947131542867,596.5994360389232
Netherlands,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",234.9639616001728,199.47469921418192,253.97416484685235
Norway,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",201.28482377942018,169.06369033055,218.02451745998923
Nepal,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",178.9195973336853,149.10512192785595,218.02487612137787
Nauru,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",352.358246199064,285.3793919786484,434.3123475009115
New Zealand,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",212.56353358453046,181.59313453222921,228.84980918052955
Oman,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",98.18450498953881,81.4637995283582,116.51299186363025
Pakistan,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",152.3499110448785,129.05924839502927,185.28488809592713
Panama,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",130.43529408559715,101.76244433482834,155.60250632655752
Peru,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",83.27492488728787,66.21234287113212,102.8812810868911
Philippines,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",199.50584339770919,170.62655118228437,229.55025695163823
Palau,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",398.47451351951054,326.03226398615595,477.90698527168473
Papua New Guinea,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",151.7704430461183,119.49414179786183,188.05892228884767
Poland,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",441.5826729910047,391.2589454790502,478.5931649713173
Puerto Rico,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",247.7963003753675,201.3637051517189,287.2846635231366
Democratic People's Republic of Korea,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",403.79548041780424,331.8062922273359,479.98997338985816
Portugal,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",308.0713600186457,259.79359499439664,334.1109117828573
Paraguay,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",147.94426935184833,114.92991552000863,182.7838761261058
Palestine,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",125.806201723015,109.9743787889854,140.81652906785462
Qatar,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",35.193095703048854,27.446199548209687,44.07060764454011
Romania,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",770.9971984354671,699.3999402191811,841.247277201183
Russian Federation,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",648.4161583151872,597.0437744670694,697.8577403991567
Rwanda,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",93.32767985568537,73.33699211337404,118.7000966065799
Saudi Arabia,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",145.3172844795254,120.08253237338238,174.51793305185208
Senegal,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",137.81351521428002,111.05788352873698,170.1151238288834
Singapore,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",109.84289413889445,97.88070795943975,117.18789693313707
Solomon Islands,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",232.7238897554149,188.94959470073374,294.8028614660501
Sierra Leone,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",127.224469683395,100.97990820025441,158.9682007122545
El Salvador,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",149.4618870050071,122.67789868025459,178.20493488343843
San Marino,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",214.62829790682483,149.50867184654578,286.0637412467765
Somalia,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",67.86196732618428,50.09373011344142,88.74968816057708
Serbia,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",772.104145659853,678.8618173656838,875.0296665866217
South Sudan,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",89.96047298427814,67.35577077331808,118.06449094188935
Sao Tome and Principe,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",125.46234446494836,109.04314294115153,145.3948722994705
Suriname,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",231.09335386534974,181.29093631402236,282.3291128264624
Slovakia,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",498.3307750008748,437.5576521941409,553.9508333871497
Slovenia,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",350.05454979916476,293.64874257850545,391.87102415011617
Sweden,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",285.5856167328421,237.56747570468764,318.60462720192294
Eswatini,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",139.55567400878408,102.74368671129679,185.7954617026347
Seychelles,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",229.44649449713,208.63792058005544,251.63791196623927
Syrian Arab Republic,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",369.5220836767703,290.67591739592285,469.1614067620993
Chad,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",93.48344020107488,73.50926330450946,115.92384809861534
Togo,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",125.78095598357034,96.15864754618262,160.21009278717574
Thailand,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",205.09018020025664,162.16537158065876,250.74498337247383
Tajikistan,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",170.91037455016988,147.4195687378655,193.25894527318013
Tokelau,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",411.8004565156201,334.3215321960514,493.59522907197265
Turkmenistan,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",365.25272876511303,297.1629200490563,450.4424820195939
Timor-Leste,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",199.0571796144076,159.92009936223485,242.8589103274092
Tonga,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",176.4223692475873,144.4247990963008,212.18674209841046
Trinidad and Tobago,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",288.65809005497,227.1834179443679,360.0697782053869
Tunisia,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",295.61685793914796,229.49869716883194,375.1142040158998
Türkiye,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",246.06547243122733,204.74559630113,287.7271337072184
Tuvalu,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",370.05903287585585,321.1476544684638,432.9633269610648
Taiwan (Province of China),2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",165.6134776092992,145.02112860047927,178.3445500230313
United Republic of Tanzania,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",97.3660374219431,80.95197892098737,120.56982980776554
Uganda,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",62.61418481990663,50.16774199897409,79.00952199305075
Ukraine,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",954.1419991585226,743.5140494169173,1173.5245997848845
Uruguay,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",291.9211010979793,261.9576422846772,310.12739463312903
United States of America,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",272.2594224771389,236.18097981169362,290.6834712124419
Uzbekistan,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",284.49380737783457,247.94797151031995,322.395226762032
Saint Vincent and the Grenadines,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",307.5778840621053,276.97306219043253,341.2540291336609
Venezuela (Bolivarian Republic of),2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",247.84599074506303,196.36581089164918,309.7829433385334
United States Virgin Islands,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",343.7753410035967,280.61758389646155,414.6876357027361
Viet Nam,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",260.4011567729964,218.06639910786473,296.33397658125244
Vanuatu,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",259.85220782816674,220.41740747641018,302.8600415749344
Samoa,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",257.63555501687125,219.0684675447783,306.185901046028
Yemen,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",175.82375797899934,138.2868463421715,221.11947356513468
South Africa,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",173.4348717639126,161.89757475776793,184.55589402559127
Zambia,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",99.11490256734209,75.29015252759787,124.8594456341706
Zimbabwe,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",129.85796579366803,106.02994368003084,156.29506231707688
Egypt,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",260.97902793171784,222.14172788756684,305.8939037519281
Sudan,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",171.58236841044808,136.73729528288342,223.5209976887946
China,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",357.4396354077907,303.0100653336328,414.9931604971369

"Institute for Health Metrics and Evaluation (IHME). GBD Compare Data Visualization. Global Burden of Disease (GBD) Study 2021. Seattle, WA: IHME, University of Washington, 2023. Available from http://vizhub.healthdata.org/gbd-compare. (Accessed 7/27/2024)."
"For terms and conditions of use, please visit http://www.healthdata.org/about/terms-and-conditions"
