Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Colombia,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",32.54308183312298,27.27812561146909,37.977854839503806
Comoros,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",49.73023216958878,37.320911889129164,63.303613109231726
Cabo Verde,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",48.92445175043963,38.67964119316509,58.41779761570507
Costa Rica,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",55.728546979983776,48.80095305984682,61.9742834741555
Cuba,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",46.683493746115055,40.51910253008347,52.63382219404378
Cyprus,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",63.61254937705913,54.68868577225808,72.16125693632222
Czechia,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",56.233073909183744,49.204276968282855,63.25046866198473
Germany,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",71.50667768772256,58.970114172348275,79.76149150308974
Djibouti,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",35.597224288895035,26.585739072230552,48.935369842983945
Dominica,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",147.3125341052022,128.1152345333348,172.06348536188656
Denmark,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",52.99968827480218,46.187357639849566,57.6354527668142
Dominican Republic,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",47.721929435075076,37.88513746010346,59.198825275323124
Algeria,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",34.561968035491915,28.506354994551053,41.10181166235289
Ecuador,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",60.94495533943785,47.228246198657715,77.27242445443548
Eritrea,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",32.839371087793396,24.22775933285242,42.9798720789614
Spain,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",52.698923350874,42.716536348435135,58.608313988498296
Estonia,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",63.74838635576909,54.082426421526705,71.68852951138568
Ethiopia,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",28.935201372264117,24.749459797997506,33.63472053888255
Finland,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",25.79724191008894,21.453049022866196,28.43567877758549
Fiji,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",230.56891748660288,179.23772660610402,290.042386686083
France,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",42.35028904504459,35.14012827698539,46.17259429248397
Micronesia (Federated States of),2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",113.55774056861009,88.02275725813242,150.58563395167025
Gabon,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",71.71985198643095,50.56558722901278,91.33693291147902
United Kingdom,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",23.935388754029763,20.587345839775264,25.71196043423983
Georgia,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",49.473626600475185,43.358213699820745,56.060324691324205
Ghana,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",40.59160175648838,32.50654011553677,49.787217227544446
Guinea,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",29.558400950097727,23.50694615912008,37.85410229200105
Gambia,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",32.858289495291075,25.656199672625327,41.0354200873184
Guinea-Bissau,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",31.574981769802136,25.453230554743353,38.4829979536292
Equatorial Guinea,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",35.656281137721706,24.473920210024577,48.994205691475884
Greece,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",86.65544274707158,74.62876671849624,93.31346793565343
Grenada,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",143.35620807831802,125.18423972837498,159.30218064460252
Greenland,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",23.6348335699962,19.720658893476372,28.408565884314978
Guatemala,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",77.87751890883621,66.6698214479169,89.8839732514755
Guam,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",56.99808499122359,49.98049044612262,63.561692875852806
Guyana,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",113.20622849154657,88.89718994029181,141.8488656795927
Honduras,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",31.575875882642098,25.230624209180952,39.56191621872222
Croatia,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",68.90387013181522,61.006919451950836,76.29528721261694
Haiti,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",57.544592684272565,40.403607181180845,81.54051750113815
Hungary,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",51.87842762275159,45.685883598327166,57.059405375876814
Indonesia,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",40.659175235347256,33.24627152025222,48.33883612638448
India,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",35.85306010387908,31.559578675051455,39.928896492893564
Ireland,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",22.909458093840172,19.31735869016977,25.140966263785433
Iran (Islamic Republic of),2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",32.974057747429235,29.21326814578118,35.935856699616224
Iraq,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",43.650264614564094,32.71015862663204,53.64800989889502
Iceland,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",19.517569429348274,15.953355662410125,21.645833085755132
Israel,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",54.5123124748131,45.76695289929329,59.2926856336358
Italy,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",63.996785526598345,52.32789660488353,70.52981884852342
Jamaica,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",111.11791997584888,87.18796753124022,139.77418144292605
Jordan,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",33.31002716088026,27.226521845614457,41.14954502358144
Japan,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",49.393621122881726,38.720254721073374,55.305698009668134
Kazakhstan,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",18.51452239226023,15.969154789143047,21.050695977279688
Kenya,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",29.040766835455596,23.89829573795742,35.039797919601504
Kyrgyzstan,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",12.998005809384635,10.961591186759929,15.329523497394533
Cambodia,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",37.50519737044206,28.507494300252947,48.300001372816304
Kiribati,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",121.95404337014735,94.45110324079958,158.21224373387017
Saint Kitts and Nevis,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",111.0426257960723,91.44121768997985,128.55000164801555
Republic of Korea,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",39.82790685916613,33.70282190517421,44.098503592986134
Kuwait,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",20.18722903804566,16.12374908220577,24.43231930647831
Lao People's Democratic Republic,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",45.070544679351954,34.611248797750385,57.371062446423636
Lebanon,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",72.21859434164423,60.138546533789544,86.4569360169866
Liberia,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",32.10969367340942,24.325714462393606,42.11841699018043
Libya,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",47.94194483178026,34.96681035822618,61.82649500153708
Saint Lucia,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",128.8304488774354,108.32514524832347,151.41324177883982
Sri Lanka,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",77.96019830211759,55.04209148031836,103.31023000614864
Lesotho,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",74.86394776037832,57.82943785667705,93.57859540651934
Lithuania,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",33.03044313389728,28.88343779245272,37.20661960753494
Luxembourg,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",35.92076580639863,30.26350763408271,40.50006260755674
Latvia,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",47.253098585657575,41.25360813447582,53.36372046237194
Morocco,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",52.406915202879595,39.74454810171733,63.82085980918122
Monaco,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",43.09619592246256,34.73899535606283,51.2436258370305
Republic of Moldova,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",21.266586019685626,19.0648717003703,23.71140325888825
Madagascar,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",21.066086165302348,15.805093485133293,26.48491992526015
Maldives,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",27.447807177601675,22.836621032768026,32.45947042515332
Mexico,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",117.67274894180285,104.92053676527111,131.33763455905265
Marshall Islands,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",124.19501075065732,82.0283608859179,192.87444228996674
North Macedonia,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",61.71557992660007,50.07619040145355,74.70186555740901
Mali,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",25.657633843053294,20.793485772034263,31.675409641085068
Malta,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",65.84927611265604,55.37783873212856,73.46948296631764
Myanmar,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",65.14441748365032,52.9349234758027,80.81238059391703
Montenegro,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",55.726515122368376,45.51815816059636,65.41039027299087
Mongolia,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",15.371090511158409,12.82700374393434,18.05463613424673
Northern Mariana Islands,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",110.08350498595092,96.45138442022547,122.0249321625299
Mozambique,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",28.28693853129728,21.97810383834911,34.88547717840955
Mauritania,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",33.61840844874833,24.922963757472576,45.03016882530183
Mauritius,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",262.630800599732,244.37847087028257,271.0502701194229
Malawi,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",32.49515869724547,27.171453260273726,38.71383671725871
Malaysia,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",40.20551866509036,35.3258280776549,44.304313441610965
Namibia,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",48.17147183514538,36.456067656871724,61.477383987670585
Niger,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",15.829698369755157,11.897405990940676,21.390790551260043
Nigeria,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",23.505570567956163,18.719472260911438,29.129498723277806
Nicaragua,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",61.53242445352206,51.29998437905434,73.120867715632
Niue,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",222.03321800174677,168.8980440077728,275.53493758322236
Netherlands,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",44.42451852846451,37.48014267257089,48.33961612696917
Norway,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",26.542315709835698,22.439811817435427,28.59964124690103
Nepal,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",34.05563127830062,26.75036153178256,42.945921776641896
Nauru,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",102.6898062663046,79.27690731622202,134.30506718256896
New Zealand,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",31.233935925380724,27.302727392359003,33.45275927815786
Oman,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",28.34569247287206,23.104430605230768,34.413815254157356
Pakistan,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",33.32699000076623,26.803335593269964,41.12957093490689
Panama,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",61.55120326392907,49.17571664354083,73.4754243932036
Peru,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",44.9752247892387,34.25069374995955,56.697237991366435
Philippines,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",56.16505388483619,47.92049105529558,64.36793088824294
Palau,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",164.4288169675783,131.56306683284373,205.66013486736998
Papua New Guinea,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",46.20316071590094,36.59972623764427,58.35884689392949
Poland,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",39.83353481368964,35.72559255687666,43.32200238543792
Puerto Rico,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",175.8403231657846,145.44629517966348,205.51847612722602
Democratic People's Republic of Korea,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",34.18967571772678,27.247748185855233,42.80475395904217
Portugal,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",82.09883801504172,69.09848975379886,89.99112646410778
Paraguay,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",63.56021276687107,49.61748564372257,79.28592144638941
Palestine,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",37.1392841945727,32.08978413982869,42.858814664735654
Qatar,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",19.476698947943138,15.332232072002913,24.841119331745695
Romania,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",32.25014184530615,28.703451133754726,36.060213994379296
Russian Federation,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",37.178601489139,34.18648103857338,40.009749530659604
Rwanda,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",32.46055904286609,23.546802513603843,42.437523239691
Saudi Arabia,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",45.82503257349262,35.982064409806995,56.775675143392725
Senegal,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",38.805384044385676,30.27919121627089,50.3445078747983
Singapore,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",17.47653595966618,15.110894542185997,19.25085286335556
Solomon Islands,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",66.88397430705407,52.60707543469107,85.69345756745665
Sierra Leone,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",24.39464240701679,19.145326084622234,31.611172476725265
El Salvador,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",110.2147547317074,87.93668321477037,135.38899278864918
San Marino,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",24.848675534624256,16.707292542639713,33.11505713422977
Somalia,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",26.67424750645652,19.91057597290633,34.95387078519271
Serbia,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",73.97745462250408,63.455259951369705,85.03110450422419
South Sudan,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",40.23260647469687,29.79743970110384,52.46215244333115
Sao Tome and Principe,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",40.39975882203588,30.58638674622572,48.60693181634058
Suriname,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",89.42802853615274,69.12830757420144,111.46880842942278
Slovakia,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",31.429549756662666,26.55200221684441,36.62819276181354
Slovenia,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",36.14794825961778,30.467563861027546,41.89914815747934
Sweden,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",43.498598569438975,36.810268167951804,48.71982077132935
Eswatini,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",74.9797195061499,54.867916724436945,99.92246242704853
Seychelles,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",72.30470198276852,61.14262380470914,82.61033488319875
Syrian Arab Republic,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",50.17333418395429,37.6182599503553,65.78064514322607
Chad,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",20.846560305271208,16.207948846961905,27.382226477647738
Togo,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",27.138129073255893,20.639310804551563,35.45839604164544
Thailand,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",84.4991826507704,65.61184280108388,105.71159601122987
Tajikistan,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",9.84850632671705,7.671956533545569,12.258112451991567
Tokelau,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",131.51920307194013,105.48061462677346,165.812165641798
Turkmenistan,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",32.31605236533392,25.28368403996025,41.48641299932917
Timor-Leste,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",30.292925792393575,23.249730758622324,39.427071018812214
Tonga,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",97.11370375973685,79.0065059421997,120.39749286073634
Trinidad and Tobago,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",188.47987855679557,145.18904030354776,235.070734241712
Tunisia,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",49.36713051205617,36.30014783298084,65.1712589250835
Türkiye,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",57.15400536614102,46.44956716909719,68.68369822014353
Tuvalu,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",110.35693371974945,91.17912463715386,138.53531539223866
Taiwan (Province of China),2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",82.38054612112866,72.6532214005717,89.29855762891712
United Republic of Tanzania,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",30.172625149352992,24.649493851433046,37.82737087158074
Uganda,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",26.03267218365798,20.270073669322848,33.15201570671816
Ukraine,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",9.494189989257405,7.047861824946369,12.019162262406754
Uruguay,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",62.876226961783374,56.294543429866565,67.07032680221398
United States of America,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",63.28115297325733,55.814306968841656,67.39111582114018
Uzbekistan,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",30.152226355554525,25.61586942262051,35.21338167207303
Saint Vincent and the Grenadines,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",132.41188236600195,117.9269189323074,148.54902410620033
Venezuela (Bolivarian Republic of),2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",91.50334554330927,70.17387144499084,116.31460398415557
United States Virgin Islands,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",98.84801491894923,77.55571633474018,123.20763822458167
Viet Nam,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",54.91636982738657,43.67644728008977,65.87444348622172
Vanuatu,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",63.077194733270645,50.9334959728355,79.92523726310397
Samoa,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",85.74959551884113,70.26185224887111,105.29360815175151
Yemen,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",12.97021775346407,9.110974541694821,20.283393921182093
South Africa,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",80.82837435310871,75.59187921597821,86.49316893487745
Zambia,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",32.46919451599896,24.155204853104156,42.01222768093884
Zimbabwe,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",41.48345073754154,33.24444956634439,52.073700906799566
Egypt,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",57.900544849010636,47.680056710701336,69.11303216275813
Sudan,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",20.53552601879118,15.671020914162455,27.15999852885063
China,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",27.302276254699304,22.67408338963836,32.33374859257389

"Institute for Health Metrics and Evaluation (IHME). GBD Compare Data Visualization. Global Burden of Disease (GBD) Study 2021. Seattle, WA: IHME, University of Washington, 2023. Available from http://vizhub.healthdata.org/gbd-compare. (Accessed 7/27/2024)."
"For terms and conditions of use, please visit http://www.healthdata.org/about/terms-and-conditions"
